Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Year of Launch_1974,Year of Launch_1978,Year of Launch_1988,Year of Launch_1989,Year of Launch_1990,Year of Launch_1991,Year of Launch_1992,Year of Launch_1993,Year of Launch_1994,Year of Launch_1995,Year of Launch_1996,Year of Launch_1997,Year of Launch_1998,Year of Launch_1999,Year of Launch_2000,Year of Launch_2001,Year of Launch_2002,Year of Launch_2003,Year of Launch_2004,Year of Launch_2005,Year of Launch_2006,Year of Launch_2007,Year of Launch_2008,Year of Launch_2009,Year of Launch_2010,Year of Launch_2011,Year of Launch_2012,Year of Launch_2013,Year of Launch_2014,Year of Launch_2015,Year of Launch_2016
AAUSat-4,NR,University of Aalborg,Denmark,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,442.0,687.0,0.0177,98.2,95.9,1,,,2016-04-25,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ABS-2,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,75.0,35778.0,35793.0,0.000178,0.08,1436.03,6330,,16000,2014-02-06,15,Space Systems/Loral,USA,Guiana Space Center,Ariane  5 ECA,2014-006A,39508.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ABS-2A,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,-75.0,35700.0,35700.0,0.0,0.0,1436.1,1800,,,2016-06-15,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ABS-3,Philippines,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,146.06,35769.0,35802.0,0.000391,0.05,1436.07,3775,1800,9000,1997-08-19,15,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ABS-3A,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,-3.0,35788.0,35803.0,0.000178,0.1,1436,2000,,,2015-03-02,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
ABS-4,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,75.0,35780.0,35793.0,0.000154,0.01,1436.1,4143,1700,7400,2004-03-13,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
ABS-6,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,159.0,35777.0,35794.0,0.000202,0.01,1436.08,2894,1730,"6,800 (EOL)",1999-09-26,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ABS-7,South Korea,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,,GEO,,116.18,35780.0,35791.0,0.00013,0.01,1436.06,3500,1800,4800,1999-09-04,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
USA 139,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,-14.5,35560.0,36013.0,0.00537,7.72,1436.14,4500,,,1998-05-09,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
USA 171,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,95.4,35589.0,35984.0,0.00468,3.2,1436.1,4500,,,2003-09-09,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
USA 202,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,44.0,35714.0,35937.0,0.00264,2.89,1438.8,5000,,,2009-01-18,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
USA 223,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,100.9,35500.0,35500.0,0.0,0.0,,5000,,,2010-11-21,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
USA 237,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,60.0,35771.0,35805.0,0.000403,0.0,23.94,5000,,,2012-06-29,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
USA 268,NR,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,,103.0,35613.0,35903.0,0.00344,7.51,1437.19,5000,,,2016-06-11,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
USA 235,USA,US Air Force,USA,Military,Communications,,GEO,,-120.0,35772.0,35801.0,0.000344,2.34,1436.1,6169,,,2012-05-03,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
